fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2016-Q2,3. La Rioja,98877,9968,0,0,96212,242,201357,49.105320401078686,4.9504114582557355,0,0,47.78180048371797,0.12018454784288601
2016-Q3,1. Resto país,9658911,1201868,59571,56615,9156263,276246,24660532,39.16748835750989,4.873649927746896,0.2415641317064855,0.22957736678186827,37.12921927231741,1.120194811693438
2016-Q3,2. NOA-Resto,1124696,166381,12028,21642,1044595,19445,2409690,46.67388751250161,6.904664085421776,0.4991513431188244,0.898123825056335,43.349766982474925,0.8069502716117011
2016-Q3,3. La Rioja,99827,12211,0,0,96852,1156,202181,49.37506491707925,6.039637750332623,0,0,47.903611120728456,0.5717649037248802
2016-Q4,1. Resto país,9714715,1394605,55107,49095,9162922,297007,24725860,39.28969508037334,5.640268933011835,0.22287192437391462,0.19855729992809146,37.058051772516706,1.201199877375347
2016-Q4,2. NOA-Resto,1124351,151605,9614,22882,1060150,31725,2415832,46.54094324439779,6.27547776501015,0.3979581361617861,0.9471685117177022,43.88343229164942,1.313212177005686
2016-Q4,3. La Rioja,97786,16034,97,0,95524,639,203138,48.1377191859721,7.893156376453446,0.04775079010327954,0,47.02419045181108,0.3145644832576869
2017-Q1,1. Resto país,9546923,1421294,89170,61056,9069716,236134,24790882,38.50981582664142,5.733132044273375,0.35968869522270325,0.24628409751617553,36.5848863303855,0.9525034244445195
2017-Q1,2. NOA-Resto,1117050,154177,6358,42043,1049243,23379,2421606,46.12847837344308,6.366725222847978,0.2625530329871994,1.7361618694370595,43.32839446218749,0.9654336832663942
2017-Q1,3. La Rioja,90316,17191,481,0,85009,1571,204009,44.27059590508262,8.426589023033298,0.23577391193525776,0,41.66924008254538,0.7700640658010186
2017-Q2,1. Resto país,9676189,1327383,74633,74459,9199397,231762,24854622,38.93114528154965,5.340588161026951,0.3002781534959574,0.29957808249910217,37.01282200147723,0.9324704274319682
2017-Q2,2. NOA-Resto,1099418,155735,10063,37703,1043855,32831,2426815,45.30291761011861,6.417258835139885,0.4146587193502595,1.5536000890055484,43.013373495713516,1.3528431297812151
2017-Q2,3. La Rioja,85599,12417,0,0,82033,108,205012,41.75316566835112,6.056718631104521,0,0,40.01375529237313,0.05267984313113379
2017-Q3,1. Resto país,9771099,1254211,60726,60610,9252738,233863,24919273,39.21101149299179,5.033096270505163,0.24369089740298605,0.24322539425608447,37.13085048668956,0.9384824348607601
