fecha,REGION,AGLOMERADO,la_rioja_region,desoc,pea,tasa_desoc
2018-Q1,Pampeana,Santa Rosa - Toay,1. Resto país,2634,53862,4.8902751475994215
2018-Q1,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,3515,88075,3.9909168322452455
2018-Q1,Patagonica,Neuquen - Plottier,1. Resto país,7150,129952,5.502031519330215
2018-Q1,Patagonica,Rawson - Trelew,1. Resto país,8040,64091,12.544663057215521
2018-Q1,Patagonica,Rio Gallegos,1. Resto país,4221,52131,8.096909708235023
2018-Q1,Patagonica,Ushuaia - Rio Grande,1. Resto país,5299,70542,7.511836919849167
2018-Q1,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,904,37428,2.415304050443518
2018-Q2,Cuyo,Gran Mendoza,1. Resto país,22815,414226,5.507862857473939
2018-Q2,Cuyo,Gran San Juan,1. Resto país,9123,200134,4.558445841286338
2018-Q2,Cuyo,San Luis - El Chorrillo,1. Resto país,3463,103801,3.3361913661718097
2018-Q2,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,124396,1595906,7.794694674999655
2018-Q2,Gran Buenos Aires,Partidos del GBA,1. Resto país,698764,5623596,12.4255725340156
2018-Q2,Nordeste,Corrientes,1. Resto país,7198,160900,4.473586078309509
2018-Q2,Nordeste,Formosa,1. Resto país,2984,81839,3.6461833600117304
2018-Q2,Nordeste,Gran Resistencia,1. Resto país,8688,160620,5.409039970115801
2018-Q2,Nordeste,Posadas,1. Resto país,4180,164719,2.5376550367595723
2018-Q2,Noroeste,Gran Catamarca,2. NOA-Resto,8981,96895,9.26879611951081
2018-Q2,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,34504,393294,8.773080697900298
2018-Q2,Noroeste,Jujuy - Palpala,2. NOA-Resto,8967,151550,5.916859122401847
2018-Q2,Noroeste,La Rioja,3. La Rioja,2000,86038,2.3245542667193564
2018-Q2,Noroeste,S. del Estero - La Banda,2. NOA-Resto,5142,149388,3.4420435376335448
2018-Q2,Noroeste,Salta,2. NOA-Resto,28395,282911,10.036725330580994
2018-Q2,Pampeana,Bahia Blanca - Cerri,1. Resto país,9448,143838,6.568500674369777
2018-Q2,Pampeana,Concordia,1. Resto país,2963,42227,7.01683756838042
2018-Q2,Pampeana,Gran Cordoba,1. Resto país,80282,744876,10.777901288268115
2018-Q2,Pampeana,Gran La Plata,1. Resto país,36667,384226,9.54308141562518
2018-Q2,Pampeana,Gran Parana,1. Resto país,4815,95866,5.022635762418376
2018-Q2,Pampeana,Gran Rosario,1. Resto país,49600,619541,8.005926968513787
2018-Q2,Pampeana,Gran Santa Fe,1. Resto país,15140,215553,7.023794611997977
2018-Q2,Pampeana,Mar del Plata - Batan,1. Resto país,24387,297249,8.20423281491275
2018-Q2,Pampeana,Rio Cuarto,1. Resto país,5927,80019,7.4069908396755775
2018-Q2,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,7405,82182,9.010488914847533
2018-Q2,Pampeana,Santa Rosa - Toay,1. Resto país,5785,52039,11.116662503122658
2018-Q2,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,3302,89942,3.6712548086544663
2018-Q2,Patagonica,Neuquen - Plottier,1. Resto país,5974,141048,4.235437581532528
2018-Q2,Patagonica,Rawson - Trelew,1. Resto país,7697,65729,11.710204019534757
2018-Q2,Patagonica,Rio Gallegos,1. Resto país,3247,52746,6.155917036362947
2018-Q2,Patagonica,Ushuaia - Rio Grande,1. Resto país,4794,70594,6.790945406125166
2018-Q2,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,1969,37850,5.202113606340819
2018-Q3,Cuyo,Gran Mendoza,1. Resto país,28354,446155,6.355190460714326
2018-Q3,Cuyo,Gran San Juan,1. Resto país,3990,196695,2.0285213147258445
2018-Q3,Cuyo,San Luis - El Chorrillo,1. Resto país,2709,101343,2.673100263461709
2018-Q3,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,133679,1582888,8.445259550896841
2018-Q3,Gran Buenos Aires,Partidos del GBA,1. Resto país,625268,5673479,11.020892119279898
2018-Q3,Nordeste,Corrientes,1. Resto país,9164,153813,5.957883923985619
2018-Q3,Nordeste,Formosa,1. Resto país,4027,83136,4.843870284834488
2018-Q3,Nordeste,Gran Resistencia,1. Resto país,4883,156058,3.1289648720347563
2018-Q3,Nordeste,Posadas,1. Resto país,3830,161124,2.3770512152131276
2018-Q3,Noroeste,Gran Catamarca,2. NOA-Resto,7588,93847,8.085500868434794
2018-Q3,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,27147,389430,6.9709575533471995
2018-Q3,Noroeste,Jujuy - Palpala,2. NOA-Resto,6790,147159,4.614056904436698
2018-Q3,Noroeste,La Rioja,3. La Rioja,3970,88043,4.509160296673217
2018-Q3,Noroeste,S. del Estero - La Banda,2. NOA-Resto,4704,146957,3.200936328313724
2018-Q3,Noroeste,Salta,2. NOA-Resto,26651,293433,9.08248220206998
2018-Q3,Pampeana,Bahia Blanca - Cerri,1. Resto país,12297,137377,8.951280054157538
2018-Q3,Pampeana,Concordia,1. Resto país,2463,45891,5.367065437667517
2018-Q3,Pampeana,Gran Cordoba,1. Resto país,69961,769117,9.096275339122656
2018-Q3,Pampeana,Gran La Plata,1. Resto país,43969,428313,10.26562350430643
2018-Q3,Pampeana,Gran Parana,1. Resto país,5374,94212,5.704156583025517
2018-Q3,Pampeana,Gran Rosario,1. Resto país,49162,620351,7.9248683406652045
2018-Q3,Pampeana,Gran Santa Fe,1. Resto país,7789,213890,3.6415914722520917
2018-Q3,Pampeana,Mar del Plata - Batan,1. Resto país,36479,308409,11.828124341377846
2018-Q3,Pampeana,Rio Cuarto,1. Resto país,6243,80099,7.794104795315797
2018-Q3,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,9221,84311,10.936888424997925
2018-Q3,Pampeana,Santa Rosa - Toay,1. Resto país,7316,55310,13.227264509130357
2018-Q3,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,3400,87790,3.872878459961271
2018-Q3,Patagonica,Neuquen - Plottier,1. Resto país,6771,127808,5.29779043565348
2018-Q3,Patagonica,Rawson - Trelew,1. Resto país,5234,66217,7.904314601990425
2018-Q3,Patagonica,Rio Gallegos,1. Resto país,3566,53902,6.615709992208081
2018-Q3,Patagonica,Ushuaia - Rio Grande,1. Resto país,4497,65513,6.8642864774930175
2018-Q3,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,1281,37731,3.3950862685855134
2018-Q4,Cuyo,Gran Mendoza,1. Resto país,26266,448761,5.853004160343702
