fecha,la_rioja_region,ocupado,pob_tot,tasa_empleo
2019-Q3,2. NOA-Resto,1054320,2489574,42.349413996129456
2019-Q3,3. La Rioja,87555,218988,39.981642829744096
2019-Q4,1. Resto país,11117149,25753971,43.1667372771368
2019-Q4,2. NOA-Resto,1035276,2494933,41.49514235452415
2019-Q4,3. La Rioja,87694,219814,39.89463819410957
2020-Q1,1. Resto país,10949428,25815742,42.41376443876763
2020-Q1,2. NOA-Resto,1006480,2500855,40.245436060867185
2020-Q1,3. La Rioja,89292,220733,40.452492377668946
2020-Q2,1. Resto país,8633114,25876437,33.36283894107987
2020-Q2,2. NOA-Resto,830510,2506680,33.13187163898064
2020-Q2,3. La Rioja,82456,221660,37.19931426509068
2020-Q3,1. Resto país,9625123,25771546,37.34786807124416
2020-Q3,2. NOA-Resto,947165,2512256,37.70177083864065
2020-Q3,3. La Rioja,85561,222686,38.42226273766649
2020-Q4,1. Resto país,10426627,25998271,40.10507852618353
2020-Q4,2. NOA-Resto,1008576,2517904,40.05617370638436
2020-Q4,3. La Rioja,88446,223489,39.57510213030619
2021-Q1,1. Resto país,10872248,26059100,41.721502277515334
2021-Q1,2. NOA-Resto,1020822,2523552,40.45179176018564
2021-Q1,3. La Rioja,88917,224486,39.6091515729266
2021-Q2,1. Resto país,10864752,26117974,41.59875494171179
2021-Q2,2. NOA-Resto,1018828,2529111,40.28403656462686
2021-Q2,3. La Rioja,97900,225354,43.44276116687523
2021-Q3,1. Resto país,11262708,26178493,43.022751538829986
2021-Q3,2. NOA-Resto,1040559,2534819,41.050623338392214
2021-Q3,3. La Rioja,100271,226249,44.318869917657096
