jurisdiccion,fecha,empresas
Chubut,2022-11-01,7918
Chubut,2022-12-01,7944
Chubut,2023-01-01,7952
Chubut,2023-02-01,7931
Chubut,2023-03-01,7919
Chubut,2023-04-01,7899
Chubut,2023-05-01,7836
Chubut,2023-06-01,7757
Chubut,2023-07-01,7785
Chubut,2023-08-01,7798
Chubut,2023-09-01,7849
Chubut,2023-10-01,7835
Chubut,2023-11-01,7852
Chubut,2023-12-01,7854
Chubut,2024-01-01,7843
Chubut,2024-02-01,7812
Chubut,2024-03-01,7779
Chubut,2024-04-01,7780
Chubut,2024-05-01,7715
Chubut,2024-06-01,7698
Chubut,2024-07-01,7633
Chubut,2024-08-01,7667
Chubut,2024-09-01,7709
Chubut,2024-10-01,7691
Chubut,2024-11-01,7699
Chubut,2024-12-01,7690
Chubut,2025-01-01,7661
Chubut,2025-02-01,7589
Chubut,2025-03-01,7602
Chubut,2025-04-01,7610
Chubut,2025-05-01,7580
Chubut,2025-06-01,7561
Chubut,2025-07-01,7502
Chubut,2025-08-01,7478
Chubut,2025-09-01,7474
Chubut,2025-10-01,7450
Chubut,2025-11-01,7441
Chubut,2025-12-01,7398
Chubut,2026-01-01,7330
Chubut,2026-02-01,7293
Chubut,2026-03-01,7258
Corrientes,2015-01-01,8264
Corrientes,2015-02-01,8227
Corrientes,2015-03-01,8247
Corrientes,2015-04-01,8248
Corrientes,2015-05-01,8287
Corrientes,2015-06-01,8277
Corrientes,2015-07-01,8312
Corrientes,2015-08-01,8322
Corrientes,2015-09-01,8348
Corrientes,2015-10-01,8383
Corrientes,2015-11-01,8396
Corrientes,2015-12-01,8379
Corrientes,2016-01-01,8382
Corrientes,2016-02-01,8314
Corrientes,2016-03-01,8342
Corrientes,2016-04-01,8372
Corrientes,2016-05-01,8384
Corrientes,2016-06-01,8402
Corrientes,2016-07-01,8408
Corrientes,2016-08-01,8413
Corrientes,2016-09-01,8447
Corrientes,2016-10-01,8438
Corrientes,2016-11-01,8488
Corrientes,2016-12-01,8477
Corrientes,2017-01-01,8462
Corrientes,2017-02-01,8440
Corrientes,2017-03-01,8401
Corrientes,2017-04-01,8445
Corrientes,2017-05-01,8398
Corrientes,2017-06-01,8443
Corrientes,2017-07-01,8442
Corrientes,2017-08-01,8470
Corrientes,2017-09-01,8485
Corrientes,2017-10-01,8538
Corrientes,2017-11-01,8576
Corrientes,2017-12-01,8586
Corrientes,2018-01-01,8523
Corrientes,2018-02-01,8517
Corrientes,2018-03-01,8531
Corrientes,2018-04-01,8503
Corrientes,2018-05-01,8480
Corrientes,2018-06-01,8451
Corrientes,2018-07-01,8461
Corrientes,2018-08-01,8443
Corrientes,2018-09-01,8414
Corrientes,2018-10-01,8408
Corrientes,2018-11-01,8424
Corrientes,2018-12-01,8392
Corrientes,2019-01-01,8344
Corrientes,2019-02-01,8304
Corrientes,2019-03-01,8271
Corrientes,2019-04-01,8234
Corrientes,2019-05-01,8238
Corrientes,2019-06-01,8252
Corrientes,2019-07-01,8236
Corrientes,2019-08-01,8239
Corrientes,2019-09-01,8299
Corrientes,2019-10-01,8288
Corrientes,2019-11-01,8234
Corrientes,2019-12-01,8203
Corrientes,2020-01-01,8174
Corrientes,2020-02-01,8119
Corrientes,2020-03-01,8136
Corrientes,2020-04-01,8120
Corrientes,2020-05-01,8077
Corrientes,2020-06-01,8076
Corrientes,2020-07-01,8083
Corrientes,2020-08-01,8045
Corrientes,2020-09-01,8074
Corrientes,2020-10-01,8103
Corrientes,2020-11-01,8106
Corrientes,2020-12-01,8068
Corrientes,2021-01-01,8043
Corrientes,2021-02-01,8002
Corrientes,2021-03-01,8042
Corrientes,2021-04-01,8064
Corrientes,2021-05-01,8080
Corrientes,2021-06-01,8076
Corrientes,2021-07-01,8043
Corrientes,2021-08-01,8049
Corrientes,2021-09-01,8049
Corrientes,2021-10-01,8099
Corrientes,2021-11-01,8122
Corrientes,2021-12-01,8109
Corrientes,2022-01-01,8154
Corrientes,2022-02-01,8137
Corrientes,2022-03-01,8175
Corrientes,2022-04-01,8237
Corrientes,2022-05-01,8260
Corrientes,2022-06-01,8312
Corrientes,2022-07-01,8344
Corrientes,2022-08-01,8392
Corrientes,2022-09-01,8478
Corrientes,2022-10-01,8541
Corrientes,2022-11-01,8611
Corrientes,2022-12-01,8741
Corrientes,2023-01-01,8830
Corrientes,2023-02-01,8848
Corrientes,2023-03-01,8866
Corrientes,2023-04-01,8846
Corrientes,2023-05-01,8830
Corrientes,2023-06-01,8924
Corrientes,2023-07-01,8960
Corrientes,2023-08-01,8985
Corrientes,2023-09-01,8967
Corrientes,2023-10-01,8988
Corrientes,2023-11-01,8925
Corrientes,2023-12-01,8910
Corrientes,2024-01-01,8892
Corrientes,2024-02-01,8782
Corrientes,2024-03-01,8690
Corrientes,2024-04-01,8579
Corrientes,2024-05-01,8512
Corrientes,2024-06-01,8465
Corrientes,2024-07-01,8449
Corrientes,2024-08-01,8458
Corrientes,2024-09-01,8450
Corrientes,2024-10-01,8378
Corrientes,2024-11-01,8340
Corrientes,2024-12-01,8333
Corrientes,2025-01-01,8358
Corrientes,2025-02-01,8380
Corrientes,2025-03-01,8370
Corrientes,2025-04-01,8385
Corrientes,2025-05-01,8382
Corrientes,2025-06-01,8358
Corrientes,2025-07-01,8290
Corrientes,2025-08-01,8230
Corrientes,2025-09-01,8174
Corrientes,2025-10-01,8120
Corrientes,2025-11-01,8097
Corrientes,2025-12-01,8079
Corrientes,2026-01-01,8009
Corrientes,2026-02-01,7975
Corrientes,2026-03-01,7956
Córdoba,2015-01-01,53347
Córdoba,2015-02-01,53536
Córdoba,2015-03-01,53481
Córdoba,2015-04-01,52855
Córdoba,2015-05-01,53207
Córdoba,2015-06-01,53128
Córdoba,2015-07-01,53006
Córdoba,2015-08-01,53022
Córdoba,2015-09-01,52823
Córdoba,2015-10-01,52924
Córdoba,2015-11-01,53089
Córdoba,2015-12-01,53106
Córdoba,2016-01-01,53138
Córdoba,2016-02-01,53392
Córdoba,2016-03-01,53159
Córdoba,2016-04-01,52821
Córdoba,2016-05-01,52777
Córdoba,2016-06-01,52874
Córdoba,2016-07-01,52641
Córdoba,2016-08-01,52698
Córdoba,2016-09-01,52819
Córdoba,2016-10-01,52684
Córdoba,2016-11-01,52767
Córdoba,2016-12-01,52985
Córdoba,2017-01-01,53099
Córdoba,2017-02-01,53522
Córdoba,2017-03-01,53239
Córdoba,2017-04-01,52774
Córdoba,2017-05-01,52821
Córdoba,2017-06-01,53032
Córdoba,2017-07-01,52915
Córdoba,2017-08-01,53027
Córdoba,2017-09-01,53060
Córdoba,2017-10-01,53153
Córdoba,2017-11-01,53284
Córdoba,2017-12-01,53358
