fecha,REGION,AGLOMERADO,la_rioja_region,mayor_25_superior,pob_tot,porc_mayor_25_superior
2016-Q2,Pampeana,Mar del Plata - Batan,1. Resto país,126898,622085,20.39882009693209
2016-Q2,Pampeana,Rio Cuarto,1. Resto país,37404,171774,21.7751231268993
2016-Q2,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,24864,184678,13.463433652086335
2016-Q2,Pampeana,Santa Rosa - Toay,1. Resto país,18031,122454,14.724712953435576
2016-Q2,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,32486,216711,14.990471180512296
2016-Q2,Patagonica,Neuquen - Plottier,1. Resto país,40769,291088,14.005730225911064
2016-Q2,Patagonica,Rawson - Trelew,1. Resto país,17167,135175,12.699833549103015
2016-Q2,Patagonica,Rio Gallegos,1. Resto país,15124,112485,13.445348268658044
2016-Q2,Patagonica,Ushuaia - Rio Grande,1. Resto país,26078,149011,17.50072142325063
2016-Q2,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,14322,87594,16.350434961298717
2016-Q3,Cuyo,Gran Mendoza,1. Resto país,184191,934439,19.711399031932526
2016-Q3,Cuyo,Gran San Juan,1. Resto país,78794,497782,15.82901752172638
2016-Q3,Cuyo,San Luis - El Chorrillo,1. Resto país,36404,221810,16.412244713944364
2016-Q3,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1091729,2920833,37.377316676441275
2016-Q3,Gran Buenos Aires,Partidos del GBA,1. Resto país,1544754,11817158,13.072127833105048
2016-Q3,Nordeste,Corrientes,1. Resto país,69250,368035,18.81614520358118
2016-Q3,Nordeste,Formosa,1. Resto país,34796,242249,14.363733183625113
2016-Q3,Nordeste,Gran Resistencia,1. Resto país,59165,382790,15.456255388071789
2016-Q3,Nordeste,Posadas,1. Resto país,60578,353924,17.11610402233248
2016-Q3,Noroeste,Gran Catamarca,2. NOA-Resto,36370,213197,17.059339484139084
2016-Q3,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,146148,877085,16.66292320584664
